feature,importance
player1_ace,0.5814092795793798
player2_df,0.46362124811447464
player1_rank_points,0.4316077164972036
rank_diff,0.22097084090865357
player2_seed,0.09490685632981448
player2_age,0.017373415012906058
wins_l,0.012255772820126203
best_of,0.01033009687115055
player2_ht,0.008944671223355589
tourney_level,0.0027251710502070553
player2_rank,0.0019432297986334366
player2_ioc,0.0
surface,0.0
player1_age,0.0
matches_played_l,0.0
player1_ht,0.0
win_percentage_l,0.0
player1_rank,0.0
matches_played_w,0.0
win_percentage_w,0.0
player1_ioc,-0.00015372565068764017
wins_w,-0.009062758207338156
age_diff,-0.06758977319609556
player1_seed,-0.08561998481463469
height_diff,-0.13096389583996204
player2_rank_points,-0.44135558411790554
player1_df,-0.4602468982303541
player2_ace,-0.5957101700479094
